CompoundName	SumFormula	Mass	Charge	RetentionTime	RetentionTimeRange	IsoDistribution
feature_0	 	501.272204296875	+1	527.8429565429688	0	0
feature_1	 	212.0692471435547	+1	73.06745910644531	0	0
feature_2	 	196.1206387451172	+1	313.6292724609375	0	0
feature_3	 	323.12117280273435	+1	80.61520385742188	0	0
feature_4	 	337.3340329101562	+1	601.8670654296875	0	0
feature_5	 	168.08929719238282	+1	151.28567504882812	0	0
feature_6	 	295.1275814941406	+1	285.2442321777344	0	0
feature_7	 	280.1305416992187	+1	527.8429565429688	0	0
feature_8	 	281.1116818359375	+1	60.14112854003906	0	0
feature_9	 	216.09920014648438	+1	374.8664245605469	0	0
feature_10	 	431.2302426269531	+1	527.8429565429688	0	0
feature_11	 	227.18796052246094	+1	475.80218505859375	0	0
feature_12	 	434.28743256835935	+1	581.5100708007812	0	0
feature_13	 	224.18829621582032	+1	486.1524963378906	0	0
feature_14	 	904.6714962890625	+1	387.5858459472656	0	0
feature_15	 	1130.8399408203124	+2	394.66015625	0	0
feature_16	 	324.10518159179685	+1	51.221439361572266	0	0
feature_17	 	456.2693051269531	+1	581.5100708007812	0	0
feature_18	 	375.1524533203125	+1	257.5419006347656	0	0
feature_19	 	244.12062348632813	+1	363.88458251953125	0	0
feature_20	 	316.18806733398435	+1	581.5100708007812	0	0
feature_21	 	598.393786328125	+1	373.974853515625	0	0
feature_22	 	311.1224545410156	+1	242.3214111328125	0	0
feature_23	 	375.15242280273435	+1	231.86410522460938	0	0
feature_24	 	452.1597165039062	+1	527.8429565429688	0	0
feature_25	 	904.6722772460937	+2	387.5858459472656	0	0
feature_26	 	363.1063107421875	+1	305.4310302734375	0	0
feature_27	 	301.2611569335937	+1	493.9698486328125	0	0
feature_28	 	731.538805859375	+1	550.4073486328125	0	0
feature_29	 	2551.007055078125	+2	340.2380676269531	0	0
feature_30	 	267.15742768554685	+1	294.6883850097656	0	0
feature_31	 	283.3233822753906	+1	572.9678344726562	0	0
feature_32	 	845.4339474609375	+1	527.8429565429688	0	0
feature_33	 	414.2037533691406	+1	512.1773071289062	0	0
feature_34	 	445.2458981445312	+1	527.5608520507812	0	0
feature_35	 	184.08424653320313	+1	80.90792083740234	0	0
feature_36	 	187.06276215820313	+1	282.0763854980469	0	0
feature_37	 	303.29207124023435	+1	576.8198852539062	0	0
feature_38	 	266.1372555664062	+1	69.42961883544922	0	0
feature_39	 	354.1786984375	+1	345.3472900390625	0	0
feature_40	 	678.5035150390624	+2	376.9378967285156	0	0
feature_41	 	823.577367578125	+2	374.5718688964844	0	0
feature_42	 	328.0765866210937	+1	84.1211166381836	0	0
feature_43	 	1357.0083978515624	+2	401.0738525390625	0	0
feature_44	 	459.2616146972656	+1	527.8429565429688	0	0
feature_45	 	1038.7742669921874	+2	632.6947021484375	0	0
feature_46	 	278.1261166503906	+1	318.3420715332031	0	0
feature_47	 	234.11082734375	+1	66.78752899169922	0	0
feature_48	 	459.2616452148437	+1	512.1773071289062	0	0
feature_49	 	716.181383984375	+1	473.56414794921875	0	0
feature_50	 	452.33589448242185	+1	357.91326904296875	0	0
feature_51	 	208.1206387451172	+1	77.96537780761719	0	0
feature_52	 	281.1118649414062	+1	67.1944808959961	0	0
feature_53	 	1096.8162591796874	+2	648.194091796875	0	0
feature_54	 	225.14715852050782	+1	77.96537780761719	0	0
feature_55	 	824.5615594726562	+2	385.20703125	0	0
feature_56	 	281.1118344238281	+1	143.32777404785156	0	0
feature_57	 	451.3140133789062	+1	581.622802734375	0	0
feature_58	 	194.0686367919922	+1	81.50111389160156	0	0
feature_59	 	452.3358334472656	+1	363.7287902832031	0	0
feature_60	 	270.168688671875	+1	309.8745422363281	0	0
feature_61	 	700.4855221679687	+1	377.23651123046875	0	0
feature_62	 	376.13789643554685	+1	330.6833190917969	0	0
feature_63	 	412.1339291503906	+1	304.24761962890625	0	0
feature_64	 	297.1067990234375	+1	114.66636657714844	0	0
feature_65	 	253.15336884765625	+1	84.36075592041016	0	0
feature_66	 	198.09993256835938	+1	120.79204559326172	0	0
feature_67	 	414.2039059570312	+1	527.8429565429688	0	0
feature_68	 	479.3452633789062	+1	581.622802734375	0	0
feature_69	 	436.185534375	+1	527.8429565429688	0	0
feature_70	 	1050.729711328125	+2	392.01275634765625	0	0
feature_71	 	2635.02731875	+2	347.7103271484375	0	0
feature_72	 	354.2302731445312	+1	487.1515808105469	0	0
feature_73	 	2593.017308984375	+2	344.13714599609375	0	0
feature_74	 	194.10498322753907	+1	264.44708251953125	0	0
feature_75	 	170.14132966308594	+1	405.7684020996094	0	0
feature_76	 	515.2877682617187	+1	527.5562744140625	0	0
feature_77	 	485.17402924804685	+1	84.54248809814453	0	0
feature_78	 	432.2733334472656	+1	343.8383483886719	0	0
feature_79	 	253.15332307128907	+1	105.38634490966797	0	0
feature_80	 	678.5037716796875	+1	377.23651123046875	0	0
feature_81	 	331.32344331054685	+1	567.491943359375	0	0
feature_82	 	273.2662533691406	+1	482.6628723144531	0	0
feature_83	 	589.4183834960937	+1	621.1116333007812	0	0
feature_84	 	597.4446286132812	+1	582.3432006835938	0	0
feature_85	 	2458.958959375	+2	349.38800048828125	0	0
feature_86	 	299.2819088867187	+1	653.1824340820312	0	0
feature_87	 	294.10982026367185	+1	527.40087890625	0	0
feature_88	 	414.11726655273435	+1	340.6910400390625	0	0
feature_89	 	210.1362637451172	+1	349.8626403808594	0	0
feature_90	 	281.16218842773435	+1	399.5678405761719	0	0
feature_91	 	633.444567578125	+1	619.7265014648438	0	0
feature_92	 	375.25569428710935	+1	636.1610717773438	0	0
feature_93	 	721.4969967773437	+1	617.2182006835938	0	0
feature_94	 	260.11567963867185	+1	306.9910583496094	0	0
feature_95	 	922.6825311523437	+2	365.28619384765625	0	0
feature_96	 	210.09991730957032	+1	112.54719543457031	0	0
feature_97	 	225.17232026367188	+1	444.3844299316406	0	0
